name,UUID,declared_qty,declared_unit,heating_value,heating_unit
"Hog fuel, pur., combusted in industrial boiler, at pulp and paper mill (EXCL.)",b6884185-30b8-391a-9dff-dbded4429a66,1,kg,20.92,MJ
"Hog fuel, self-gen., combusted in ind. boiler, at pulp and paper mill (EXCL.)",7906c042-7330-3046-9b9a-92a4af4f2150,1,kg,20.92,MJ
"Wood Combusted, at boiler, at cellulosic fiberboard mill",106bcee8-0d5f-30c6-ac98-fa6dab41d4d1,1,kg,20.92,MJ
"Wood Combusted, at boiler, at hardboard mill",f3b8fc97-f519-3da0-80de-72a7d5551fda,1,kg,20.92,MJ
"Wood fuel, hardwood, gen at lumber mill, combusted in industrial boiler, NE-NC",5b12a6bf-921f-3e80-9bd4-1c250a6696fb,1,kg,20.92,MJ
"Wood fuel, hardwood, generated at lumber mill, combusted in industrial boiler, SE",8a62a285-537e-36b0-bdc3-3af4bfd205a3,1,kg,20.92,MJ
"Wood fuel, hardwood, generated at mill, combusted in industrial boiler, E",a555a537-a0f1-3e54-9008-1d56c5e342a6,1,kg,20.92,MJ
"Wood fuel, hardwood, purchased, combusted in industrial boiler, E",2d43bb55-3817-37dc-a7b4-20c3304f07af,1,kg,20.92,MJ
"Wood fuel, hardwood, purchased, combusted in industrial boiler, NE-NC",61d04f2c-c8df-3b9c-8def-60328506efd2,1,kg,20.92,MJ
"Wood fuel, hardwood, purchased, combusted in industrial boiler, SE",db291182-7d45-38c4-8529-a9abc78e55e9,1,kg,20.92,MJ
"Wood fuel, hardwood,gen at flooring prod plant, combusted in industrial boiler, E",2c6df723-416e-3164-a5f1-bb97081fc64f,1,kg,20.92,MJ
"Wood fuel, MDF, generated on-site, combusted in industrial boiler",2fdc10ce-f75d-30d0-b1e7-672af0eb98fe,1,kg,20.92,MJ
"Wood fuel, MDF, purchased, combusted in industrial boiler",e389edf2-979a-372c-b6e0-8de8bfd28c93,1,kg,20.92,MJ
"Wood fuel, softwood, gen at lumber mill, combusted in industrial boiler, NE-NC",66cf43e1-e3fe-36b4-8653-bb5b739b0f5e,1,kg,20.92,MJ
"Wood fuel, softwood, purchased, combusted in industrial boiler, NE-NC",3a98c0e1-2ba4-33f1-8d88-35b7f92af534,1,kg,20.92,MJ
"Wood waste, unspecified, combusted in industrial boiler",3455f918-4a43-3b09-b06e-7402c12b8d45,1,kg,20.92,MJ
"Wood, particleboard, generated on-site, combusted in industrial boiler",80fa4691-56d0-3019-a021-30c3b187e63e,1,kg,20.92,MJ
"Wood, softwood, INW, generated at lumber mill, combusted in industrial boiler",c7aaeef5-a019-304e-959d-92fdccaf0896,1,kg,20.92,MJ
"Anthracite coal, combusted in industrial boiler",27e8fce4-a5c1-37af-84b9-763582a5ca3e,1,kg,28.49304,MJ
"Bituminous coal, combusted in industrial boiler",26465530-69ff-3c68-834f-c67ccb6ee1b2,1,kg,30.1248,MJ
"Bituminous coal, combusted in industrial boiler, at pulp and paper mill (EXCL.)",accc6b3b-6793-3964-b89d-82066f6977fc,1,kg,30.1248,MJ
"Diesel, combusted in industrial boiler",53804132-4bd6-3b18-bfbd-14ac762431ef,1,m3,38158.08,MJ
"Diesel, combusted in industrial boiler, at pulp and paper mill (EXCL.)",0924e625-e201-374c-8628-0c44df929cdd,1,m3,38158.08,MJ
"Diesel, combusted in industrial equipment",d6ad7035-5498-3237-8abd-50e93b1eef89,1,m3,38158.08,MJ
"Gasoline, combusted in equipment",d3e13675-1455-375f-a557-bb8234de75ff,1,m3,36066.08,MJ
"Gasoline, combusted in equipment, at pulp and paper mill (EXCL.)",32a3732b-30c8-3605-8306-ca12599f8e91,1,m3,36066.08,MJ
"Lignite coal, combusted in industrial boiler",1b0f75b8-e749-3eb2-8727-de6a22f60646,1,kg,16.69416,MJ
"Liquefied petroleum gas, combusted in industrial boiler",4eec7a31-b920-3f91-b7c3-924f2aa92ecc,1,m3,26150,MJ
"LPG, combusted in industrial boiler, at pulp and paper mill (EXCL.)",d549cd32-3e84-327e-86e8-452772ff7c56,1,m3,26150,MJ
"Natural gas, combusted in industrial boiler",f347daea-82be-4e62-8872-a0dc0ca24ca3,1,m3,39.082744,MJ
"Natural gas, combusted in industrial boiler, at hydrocracker, for butadiene",39abf743-0b9e-33e3-8752-b418609504f1,1,m3,39.082744,MJ
"Natural gas, combusted in industrial boiler, at hydrocracker, for ethylene",29d771d7-71ec-3a22-bbd0-8709d5a328e2,1,m3,39.082744,MJ
"Natural gas, combusted in industrial boiler, at hydrocracker, for propylene",0f528ea6-57a9-365a-a4af-4132ebe27cae,1,m3,39.082744,MJ
"Natural gas, combusted in industrial boiler, at hydrocracker, for pyrolysis gas",8a0090ee-4054-322f-a65d-15c8ee6ca915,1,m3,39.082744,MJ
"Natural gas, combusted in industrial boiler, at pulp and paper mill (EXCL.)",4d7e8233-af87-31fc-b497-592383d4008a,1,m3,39.082744,MJ
"Natural gas, combusted in industrial equipment",b355f122-dc4e-4224-aafa-d43c3b57db7b,1,m3,39.082744,MJ
"Residual fuel oil, combusted in industrial boiler",9d9b6815-9349-30af-869b-57362428c42e,1,m3,41756.32,MJ
"RFO, combusted in industrial boiler, at pulp and paper mill (EXCL.)",7ee5b4ca-1a5e-3d26-8e79-0805a115e444,1,m3,41756.32,MJ
"TDF, combusted in industrial boiler, at pulp and paper mill (EXCL.)",a515132e-c816-34ea-9773-d56c11dc1cb0,1,kg,37.80926713,MJ
