Category,Name,UUID,Location,Process Type,Description,Amount,Unit,GWP [kg CO2 eq],AP [kg SO2 eq],EP [kg N eq],ODP [kg CFC-11 eq],POCP [kg O3 eq],CO2 [kg],CH4 [kg],N2O [kg],electricity_GWP,electricity_AP,electricity_EP,electricity_ODP,electricity_POCP,electricity_CO2,electricity_CH4,electricity_N2O,electricity_qty,electricity_unit,nonrenewable fuel combustion_GWP,nonrenewable fuel combustion_AP,nonrenewable fuel combustion_EP,nonrenewable fuel combustion_ODP,nonrenewable fuel combustion_POCP,nonrenewable fuel combustion_CO2,nonrenewable fuel combustion_CH4,nonrenewable fuel combustion_N2O,nonrenewable fuel combustion_qty,nonrenewable fuel combustion_unit,renewable fuel combustion_GWP,renewable fuel combustion_AP,renewable fuel combustion_EP,renewable fuel combustion_ODP,renewable fuel combustion_POCP,renewable fuel combustion_CO2,renewable fuel combustion_CH4,renewable fuel combustion_N2O,renewable fuel combustion_qty,renewable fuel combustion_unit
22: Utilities/2212: Natural Gas Distribution,natural gas extraction and processing - San Juan,c28e4f4e-efca-360e-9917-4062f8a1d5f0,,LCI_RESULT,"The cradle-to-gate inventory for production of gas aggregated to basin. The NETL natural gas life cycle model includes parameters to generate inventories for natural gas extraction based on basin and geology which determines the gas extraction type (e.g., Appalachian Shale using hydraulic fracturing). 2016 natural gas production then informs the amount of each type of technology/region that form the mix in the regions. These can be further aggregated to a US average. More details are in the natural gas upstream report at the link below
https://www.netl.doe.gov/energy-analysis/details?id=3198 This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,MJ,0.022558377059500968,0.00010832813720397393,6.746542758481047e-06,0.0,0.0038369431026511612,0.01099807282474013,0.0004116706309105743,1.2651535030739839e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
23: Construction/2371: Utility System Construction,power plant construction - ngcc_const,5faf0d5f-993f-3906-bda9-b10eb58f5474,,LCI_RESULT,"The cradle-to-gate inventory for the construction of the fossil fuel generators (coal, gas, and oil). The inventories represent the construction of either natural gas combined cycle or coal power plants using an economic input output life cycle inventory model (https://doi.org/10.1016/j.jclepro.2017.04.150) and the construction costs for these plants as detailed by NETL techno-economics analysis (https://www.netl.doe.gov/energy-analysis/details?id=729). These type different types of power plants are then assigned to the various power plants according to the plant they most resemble. The inventories are then scaled according to power plant capacity relative to the source power plants and the allocated over an assumed 30 year life. The single year of impacts are then divided by the generation of the year selected in the model configuration. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,Item(s),12856.850631964893,38.02805784268156,36.36871846714888,0.002869992331264214,780.5485886064351,11193.108094478053,43.7933934662767,0.35701189752740825,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; consumption mix - ISO-NE - BA,bf2c7baa-45b5-30ae-b2a0-afe99ae2f9a5,,UNIT_PROCESS,Electricity consumption mix using power plants in the ISO-NE region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.10533484167272274,0.00017863126378159033,1.5020186994572404e-05,1.7960444038233881e-09,0.004924953739473902,0.1003062413072649,0.0001629700297691578,1.5652666787983568e-06,0.10533484167272274,0.00017863126378159033,1.5020186994572404e-05,1.7960444038233881e-09,0.004924953739473902,0.1003062413072649,0.0001629700297691578,1.5652666787983568e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at user; consumption mix - NorthWestern Corporation - BA,d640a8aa-93b2-3d0e-8012-24b79ead9694,,UNIT_PROCESS,Electricity distribution to end user in the NorthWestern Corporation region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.20947546581313972,0.00039354369657514505,1.580431848424954e-05,4.828764771768476e-09,0.006271371750084925,0.20544470950463045,0.00011274629920847428,3.1549011742507902e-06,0.20947546581313972,0.00039354369657514505,1.580431848424954e-05,4.828764771768476e-09,0.006271371750084925,0.20544470950463045,0.00011274629920847428,3.1549011742507902e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at user; consumption mix - PowerSouth Energy Cooperative - BA,c8ef80e2-6e54-3f08-b030-d007405d48c8,,UNIT_PROCESS,Electricity distribution to end user in the PowerSouth Energy Cooperative region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.21270808661439244,0.00041565725397902894,2.562207658599961e-05,2.0481839845152487e-09,0.011646742290108987,0.20229737372954912,0.0003530535511413349,1.8509722322473012e-06,0.21270808661439244,0.00041565725397902894,2.562207658599961e-05,2.0481839845152487e-09,0.011646742290108987,0.20229737372954912,0.0003530535511413349,1.8509722322473012e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution",Electricity; at grid; consumption mix - PacifiCorp East - BA,a9eed0a6-6813-3083-881a-ce9f6856fe0f,,UNIT_PROCESS,Electricity consumption mix using power plants in the PacifiCorp East region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.,1.0,MJ,0.23140392083741468,0.0004379339385107996,1.9830835682976837e-05,4.968022601919904e-09,0.008993929895975526,0.22417720242274466,0.00022399613173787155,3.4570478326904644e-06,0.23140392083741468,0.0004379339385107996,1.9830835682976837e-05,4.968022601919904e-09,0.008993929895975526,0.22417720242274466,0.00022399613173787155,3.4570478326904644e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
22: Utilities/2212: Natural Gas Distribution,natural gas extraction and processing - Arkoma,b0c59e83-8706-3ea9-8a4a-0c6bcd0fe2ec,,LCI_RESULT,"The cradle-to-gate inventory for production of gas aggregated to basin. The NETL natural gas life cycle model includes parameters to generate inventories for natural gas extraction based on basin and geology which determines the gas extraction type (e.g., Appalachian Shale using hydraulic fracturing). 2016 natural gas production then informs the amount of each type of technology/region that form the mix in the regions. These can be further aggregated to a US average. More details are in the natural gas upstream report at the link below
https://www.netl.doe.gov/energy-analysis/details?id=3198 This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,MJ,0.017847259524654033,9.038015333633378e-05,5.6094100220526585e-06,0.0,0.0031515054931742998,0.00997095113055924,0.000280100135098017,1.2643249027323944e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity; at grid; generation mix - Public Utility District No. 2 of Grant County, Washington",b591cc47-d607-3875-97df-2b696348855b,,UNIT_PROCESS,"Electricity generation mix in the Public Utility District No. 2 of Grant County, Washington region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,MJ,0.0010231225551004784,2.646697737029842e-25,6.89542604547363e-27,0.0,6.291830650643393e-09,0.0010108709875710515,4.3755598319381617e-07,1.5568810217822602e-25,0.0010231225551004784,2.646697737029842e-25,6.89542604547363e-27,0.0,6.291830650643393e-09,0.0010108709875710515,4.3755598319381617e-07,1.5568810217822602e-25,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",b42ca74f-a649-32d5-9a9f-6a9846e7af51,,UNIT_PROCESS,"Electricity distribution to end user in the Electric Reliability Council of Texas, Inc. region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,MJ,0.18110686248134292,0.0005124120883296153,2.6743847861918648e-05,2.127460284181732e-09,0.011764443034727772,0.1705349156141438,0.00036038913849271217,1.6778511182891537e-06,0.18110686248134292,0.0005124120883296153,2.6743847861918648e-05,2.127460284181732e-09,0.011764443034727772,0.1705349156141438,0.00036038913849271217,1.6778511182891537e-06,1.0,MJ,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,petroleum extraction and processing - RFO PADD 1,8fe45891-8f21-3009-883c-7f3ccb47d248,,LCI_RESULT,"The cradle-to-gate inventory for production of refinery products (residual fuel oil or diesel fuel oil) for each U.S. Petroleum Administration for Defense District (PADD). The method for generating the inventory largely follows the method detailed in the journal article below, but in this case 2016 data was used for determining crude mixes new versions of the model were used. Additionally, OPGEE was used to provide only the amounts of various fuels used in the production of crude, and NETL unit processes were used for combustion of those fuels to provide a more complete inventory.
https://pubs.acs.org/doi/abs/10.1021/acs.est.6b02819
The model is constructed to provide the inventory for diesel fuel oil or residual fuel oil based on PADD. This inventory includes crude extraction (foreign and domestic), crude transportation, crude refining, and fuel transportation.  This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 1.0.1 using the ELCI_1 configuration.",1.0,MJ,0.023870673821298465,2.734755581027574e-05,1.6078892617553283e-06,2.042030747116537e-11,0.0006551286139679726,0.019138096198464648,0.00016742192769500947,1.5345218563943727e-07,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,MJ,0,0,0,0,0,0,0,0,0,MJ
