CLF Baselines Report Category 1,CLF Baselines Report Category 2,Product,Method,Data Source Links,Scale Factor,Value,CLF report GWP value (kg CO2e / declared unit),Declared qty,Declared unit,Baseline method A (data source),Baseline method B (calculation),CLF data source representativeness assessment approach,Data source- product and notes,Data Source - manufacturer and year,Data source(s) include additional life cycle stage info beyond A1-A3,Geography,Density,Density unit,sctg code,FYI Transport Description,waste_rate_category,eol material,DRF Category,Wall material? ,Wall material with thermal mass?,Glazing materials (transparent part only)?,Glazing gas?,Roughness (string),Thermal conductivity W/(m·K),Thermal Absorptance,Solar Absorptance,Visible Absorptance,Specific Heat J/kg-K,Solar Transmittance at Normal Incidence,Front Side Solar Reflectance at Normal Incidence,Back Side Solar Reflectance at Normal Incidence,Visible Transmittance at Normal Incidence,Front Side Visible Reflectance at Normal Incidence,Back Side Visible Reflectance at Normal Incidence,Infrared Transmittance at Normal Incidence,Front Side Infrared Hemispherical Emissivity,Back Side Infrared Hemispherical Emissivity,Compressive strength (Mpa),Compressive strength (psi),Weight classification,Intended application for insulation ,Service Life [yr] for insulation material,Thickness  (m) when RSI=1 for insulation material,RSI /inch (or 25.4mm) for insulation material (m2C/W),GWP,GWP-fossil (AR5) [kg CO2 eq/declared unit],GWP-biogenic (AR5) [kg CO2 eq/declared unit],GWP-luluc (AR5) [kg CO2 eq/declared unit],AP,EP,ODP,POCP,ADP fossil (MJ/declared unit),Stored Biogenic Carbon?,Carbon fraction of biomass ,Mositure content (%),Ratio between the molecular mass of CO2 and C molecules,Biamass weight percentage of product (%) ,Carbon fraction considering biomass weight percentage of product ,Density based on oven dry mass  [kg/m3],Biogenic Carbon Content [kg C/m3],Biogenic CO2 Content [kg CO2/m3],GWP-total - Biogenic CO2 stored [kgCO2eq],GWP-biogenic - Biogenic CO2 stored [kgCO2eq],Growth Model Type,Rotation period [yrs],Mineral Carbonation Potential,Mineral C,CO2 [kg/declared unit],CH4 [kg/declared unit],N2O [kg/declared unit]
Steel,Rebar,"Rebar, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/industry-epds/ec3z96ry,0.999805913,Baseline,753,1,metric ton,Industry,single,industry data,"Rebar industry-average EPD (CRSI, 2022). CLF converted from the industry EPD's fabricated result to unfabricated GWP. ",Concrete Reinforcing Steel Institute (CRSI). (2022). Environmental Product Declaration: Steel Reinforcement Bar. UL Environment.,FALSE,North America,7850,kg/m3,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",e_rebar,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,753,N/A,N/A,N/A,1.5292287917737800,0.0761710796915167,0.0000000008033290,33.5849614395887000,736.5462724935730000,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Rebar,"Rebar, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3e0pbq,1.026041667,High-80th%,788,1,metric ton,N/A,N/A,N/A,Unfabricated steel reinforcing bar,Steel Dynamics Inc (2022),FALSE,North America,7800,kg/m3,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",e_rebar,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,788,N/A,N/A,N/A,4.0836458333333300,0.0766453125000000,0.0000000000087521,24.4197916666667000,7028.3854166666700000,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Rebar,"Rebar, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3bb6ka,0.878906077,Low-20th%,616,1,metric ton,N/A,N/A,N/A,Steel Concrete Reinforcing Bar and Merchant Bar Products-Utah (UT) Unfabricated. converted from the EPD's fabricated result to unfabricated,Nucor (2023),FALSE,North America,7800,kg/m3,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",e_rebar,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,616,N/A,N/A,N/A,1.3443093922651900,0.0626209944751381,0.0000000000180376,22.2917127071823000,665.3480662983420000,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Rebar,"Rebar, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/industry-epds/ec3z96ry,1,Baseline,854,1,metric ton,Industry,single,industry data,"Rebar industry-average EPD (CRSI, 2022) ",Concrete Reinforcing Steel Institute (CRSI). (2022). Environmental Product Declaration: Steel Reinforcement Bar. UL Environment.,FALSE,North America,7850,kg/m3,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",e_rebar,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,854,N/A,N/A,N/A,2.1700000000000000,0.1170000000000000,0.0000000010900000,49.1000000000000000,1020.0000000000000000,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Rebar,"Rebar, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3rbxbs,0.996511628,High-80th%,857,1,metric ton,N/A,N/A,N/A,Fabricated Steel Reinforcing Bar (Rebar),Steel Dynamics Inc. (2022),FALSE,North America,7800,kg/m3,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",e_rebar,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,857,N/A,N/A,N/A,4.6437441860465100,0.1136023255813950,0.0000000002650721,38.0667441860465000,7978.7596860465100000,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Rebar,"Rebar, fabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec38txs8,1.015558699,Low-20th%,718,1,metric ton,N/A,N/A,N/A,Concrete Reinforcing Steel Bar ,CMC Steel Oklahoma (2021),FALSE,North America,7833,kg/m3,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",e_rebar,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,718,N/A,N/A,N/A,1.4522489391796300,0.0672299858557284,0.0000000024373409,21.7329561527581000,714.9533239038190000,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"Hot-rolled sections, unfabricated",CLF 2025 Material Baselines,https://www.aisc.org/globalassets/aisc/sustainability/aisc_industryavghotrolledstructuralsteelsections_lcareport_finalv2_03-27-2025.pdf,1,Baseline,901,1,metric ton,Industry,single,industry data,"Hot-rolled structural steel sections industry-average LCA report (JBE, 2025) ",John Beath Environmental (JBE). (2025). Life Cycle Assessment of Hot-Rolled Structural Steel Sections. AISC. https://www.aisc.org/globalassets/aisc/sustainability/aisc_industryavghotrolledstructuralsteelsections_lcareport_finalv2_03-27-2025.pdf,FALSE,North America,7850,kg/m3,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",p_custom,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,901,N/A,N/A,N/A,2.7500000000000000,1.7900000000000000,0.0000093300000000,46.5000000000000000,10300.0000000000000000,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"Hot-rolled sections, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3e0mzb,1,High-80th%,930,1,metric ton,N/A,N/A,N/A,Unfabricated structural steel sections,Steel Dynamics Inc (2022),FALSE,North America,7800,kg/m3,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",p_custom,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,930,N/A,N/A,N/A,5.3300000000000000,0.1000000000000000,-0.0000000000098900,28.5000000000000000,16700.0000000000000000,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"Hot-rolled sections, unfabricated",CLF 2025 Material Baselines,https://buildingtransparency.org/ec3/epds/ec3pwwzr,1.172649573,Low-20th%,686,1,metric ton,N/A,N/A,N/A,HiRec Beam Unfabricated,Nucor 2024,FALSE,North America,7800,kg/m3,323,"Bars, rods, angles, shapes, sections, and wire, of iron or steel.",p_custom,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,686,N/A,N/A,N/A,2.3570256410256400,0.1559623931623930,0.0000488994871795,45.1470085470085000,8548.6153846153800000,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steel,Structural steel,"Hot-rolled sections, fabricated",CLF 2025 Material Baselines,https://www.aisc.org/globalassets/aisc/sustainability/aisc_industryavghotrolledstructuralsteelsections_lcareport_finalv2_03-27-2025.pdf,1,Baseline,1080,1,metric ton,Industry,single,industry data,"Hot-rolled structural steel sections industry-average LCA report (JBE, 2025) ",John Beath Environmental (JBE). (2025). Life Cycle Assessment of Hot-Rolled Structural Steel Sections. AISC. https://www.aisc.org/globalassets/aisc/sustainability/aisc_industryavghotrolledstructuralsteelsections_lcareport_finalv2_03-27-2025.pdf,FALSE,North America,7850,kg/m3,332,"Structures and parts, except prefabricated buildings.",p_custom,Steel,1,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080,N/A,N/A,N/A,3.3500000000000000,2.3600000000000000,0.0000114000000000,58.4000000000000000,12700.0000000000000000,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
